Speaker,Utterance,File_ID
A,<ds>yeah</ds>,196
B,and it time consuming,196
B,<ds>so</ds>,196
A,so it keeps you in the company <ds>huh</ds>,196
B,that right you know it gives me a paycheck you know it only like the works only you know three weeks,196
B,goes for like three to four weeks three times a year,196
A,<ds>uh-huh</ds>,196
B,you know it not something that continual because you know the television ratings do n't come out you know all the time,196
B,they only come out four times a year so but,196
A,<ds>yeah</ds>,196
A,boy I tell you if I could bring a computer home and do stuff here I get all kinds of stuff done,196
B,<ds>oh</ds>,196
A,phone always ringing and,196
B,<ds>uh-huh</ds>,196
A,people always asking me to do something else,196
B,<ds>yeah</ds>,196
A,I got a lot of especially right now we got several new products coming out and I got lots of documentation I need to review and some I need to revise,196
B,<ds>uh-huh</ds> will they let you take a computer home to work,196
A,<ds>well</ds> <ds>yeah</ds> but you know I need to be at the office too,196
B,<ds>oh</ds> <ds>uh-huh</ds>,196
A,you know I just got to deal with all those other things that happen but,196
B,<ds>yeah</ds>,196
A,a P C at the house would really take a lot of the load off,196
B,<ds>yeah</ds> I bet,196
B,<ds>yeah</ds> my hu- he took one home when they when they had it you know they had a big deadline coming up and it was looking a little touchy to meet so,196
A,<ds>uh-huh</ds> <ds>well</ds> I I done that before on a couple times,196
B,<ds>yeah</ds>,196
A,but that would make it just that much easier instead of bringing home a computer you just bring home a few floppy disks you know,196
B,<ds>uh-huh</ds> that right,196
B,I thought that would be you know because it real nice with this because I do n't even have to go into the office I maybe been into the office once in the past three years you know,196
A,<ds>oh</ds> my,196
B,they just <ds>um</ds> they just send me everything and pick it up courier or whatever so you know,196
A,man that sounds really nice,196
B,<ds>yeah</ds>,196
B,it is real nice you know I just deal with them on the telephone half the people do n't even know who they talking to,196
A,<ds>uh-huh</ds>,196
B,but I you know worked I know most of them well I ca n't say that a lot of people changed around there but most people know who I am but I do n't know who they are you know,196
A,<ds>uh-huh</ds>,196
B,a lot of them just know me by name and phone voice,196
A,<ds>right</ds>,196
A,<ds>yeah</ds> I got a lot of folks that I worked with like that as well,196
B,<ds>yeah</ds> you just know them by the telephone so,196
B,but well it been good talking to you I think we MUMBLEx got the subject,196
A,<ds>yeah</ds> we sort of stayed to the topic anyway,196
B,<ds>yeah</ds> we tried,196
B,it hard to sometimes,196
A,<ds>okay</ds> <ds>well</ds> we talk to you later,196
B,<ds>okay</ds> <ds>well</ds> thanks bye bye,196
A,bye,196
A,<ds>well</ds> we have n't really heard that much in the news lately about <ds>uh</ds> U S involvement in Latin America since <ds>uh</ds> all this Middle East crisis began,200
A,so I have n't really paid that much attention like since back in August when all of the news and all of the media began to focus in on <ds>uh</ds> Iraq and the so the last thing that I remember hearing that much about is the Iran Contra scandal that happened in the Reagan presidency,200
A,can you think of anything else that happened recently,200
B,<ds>no</ds> I would agree with you,200
B,we have n't had too much but <ds>uh</ds> historically we always <ds>uh</ds> almost been like a big brother to in and to the Latin American area and <ds>uh</ds> almost used them,200
B,I I I feel,200
A,<ds>uh-huh</ds>,200
B,<ds>uh</ds> I think something will have to be done down there very soon about <ds>uh</ds> about Mexico and and <ds>uh</ds> some of the other areas but but with the Persian Gulf as you said it just <ds>uh</ds> been very quiet,200
B,I I keep pretty close tabs on the paper and you do n't hardly see a unless it there and we just not seeing it,200
A,<ds>well</ds> the only <ds>uh</ds> references that I have seen lately has been <ds>uh</ds> in part of the overmilitarization of Iraq was due to companies selling them arms and things and,200
B,<ds>uh-huh</ds>,200
A,and they made references to in the past how we have given arms to <ds>uh</ds> Nicaragua and to other places in Latin America and that those might turn around and haunt us someday,200
B,<ds>well</ds> that,200
A,I mean not not to this large scale as Iraq but that,200
B,<ds>uh-huh</ds>,200
A,whenever we give arms to people a- as we did and as we sold arms to pardon me to Iraq when we wanted them to fight Iran,200
B,<ds>uh-huh</ds> <ds>uh-huh</ds>,200
A,and then <ds>uh</ds> and then it turn around and,200
B,I I agree we the largest munitions producer in the world and so <ds>uh</ds> there a lot of money to be made there and it <ds>uh</ds> be very difficult to to cut it back to a,200
A,<ds>uh-huh</ds>,200
B,a level where it should be,200
B,and and <ds>uh</ds> it will come back to haunt us it seems to come in cycles,200
A,<ds>uh-huh</ds>,200
A,and I know when I spent the time that I studied in Mexico <ds>uh</ds> se- Spanish was one of my majors in college that <ds>uh</ds> there was a kind of a lot of resentment there towards America,200
B,<ds>uh-huh</ds>,200
A,about <ds>uh</ds> like you say using them yo- our interest there is you know what profit we could make off of any kind of relationship with them,200
B,<ds>right</ds>,200
A,and that we were n't normally very interested in them and they have in other in most Latin American countries they there are a lot of the kind of problems that we fought for in other countries you know that they have corruption and and they do n't have <ds>uh</ds> I mean there just very few really modern cities,200
B,right and the probably the bigge biggest problem down there is that where the that the drug entry points,200
A,<ds>uh-huh</ds>,200
B,and their economy is of s- several of the countries especially Columbia is so built on the on t- on the drugs that <ds>uh</ds> our our little war on drugs has really been laughable,200
B,it just a you know such a small amount and it doe- it just it <ds>uh</ds> cuts off just a trickle and <ds>uh</ds> if if we ca n't get a handle on that through some through some <ds>uh</ds> method I do n't know where whe that will be another big problem,200
A,<ds>well</ds> that right because that just so much of the way that they make their money and so many communities have <ds>uh</ds> have to have that for farming,200
B,<ds>right</ds> <ds>right</ds>,200
A,and they do n't look at it so much as you know,200
B,and as long as we the largest <ds>uh</ds> consumer then <ds>uh</ds>,200
A,<ds>uh-huh</ds>,200
B,this is the market,200
A,that right,200
B,if we can cut back the usage then <ds>uh</ds> maybe it will have to go someplace else,200
A,and I think it really very sad that north of the border you know the United States and Canada is so different,200
B,<ds>uh-huh</ds>,200
A,from the S- from South America,200
B,<ds>uh-huh</ds> <ds>yeah</ds>,200
A,and Central America,200
A,there really a disparity between the <ds>uh</ds> what a e- I would call civilization of the countries you know,200
B,<ds>right</ds> <ds>yeah</ds> we just so much wealthier and <ds>uh</ds>,200
A,<ds>uh-huh</ds>,200
B,and <ds>uh</ds> there has to be resentment built up and that where <ds>uh</ds> leaders can use <ds>uh</ds> use that whenever the opportune moment arises,200
A,<ds>yes</ds> it really kind of sad and,200
B,<ds>yeah</ds>,200
A,that we would go all the way to Iraq and that we would be very concerned with the situation between Jerusalem and <ds>uh</ds> Israel and the Middle East Arab countries and and when we have when we have a lot of problems r- r- right in our own back door,200
B,that right,200
B,our own hemisphere but we that been <ds>uh</ds> that been the way it always been,200
A,<ds>um</ds>,200
B,<ds>so</ds> <ds>uh</ds>,200
A,so I guess we kind of neglected Latin America,200
B,very much so except when we need them,200
B,you know when they found oil in Mexico then we got very friendly with them again,200
A,ri- recently,200
B,<ds>yeah</ds>,200
A,<ds>yeah</ds> fairly recently,200
A,<ds>well</ds> that really sad,200
A,I had n't thought about that in a long time,200
B,<ds>um</ds>,200
A,<ds>well</ds> I guess then I will go but I,200
B,<ds>okay</ds>,200
A,made me stop and think a minute about,200
B,<ds>sure</ds> did,200
A,not worrying so much about the Middle East crisis,200
A,I know that it not settled but there are other areas that we could focus our attention on,200
B,always <ds>yes</ds> ma'am,200
A,<ds>well</ds> thank you you have a good day,200
B,you too dear,200
A,bye-bye,200
B,bye,200
A,<ds>okay</ds> do you have,205
B,are you there,205
A,<ds>yeah</ds>,205
B,<ds>okay</ds>,205
A,there okay,205
B,<ds>okay</ds>,205
A,had to mess with my phone here,205
A,<ds>um</ds> do you have children,205
B,<ds>yes</ds> I have one,205
A,<ds>oh</ds> <ds>okay</ds>,205
B,how about you,205
A,I have three,205
B,<ds>oh</ds> my goodness,205
A,<ds>yeah</ds>,205
A,<ds>yeah</ds> <ds>uh</ds> do you work,205
B,<ds>yeah</ds> I do,205
A,<ds>okay</ds>,205
B,I do I work and and <ds>uh</ds> Brian in a day care center,205
B,he <ds>uh</ds> he was two in December,205
A,<ds>oh</ds>,205
B,so he not quite two and a half yet,205
A,<ds>uh-huh</ds>,205
B,he <ds>uh</ds> I put him I kind of had different different ideas from what probably the majority of people have,205
A,<ds>uh-huh</ds>,205
B,I put him in a day care center from the very beginning,205
B,he started in day care when he was eight weeks old,205
A,<ds>oh no</ds> kidding,205
B,and I just I do n't know I have kind of the opposite opinion of most people,205
A,<ds>really</ds>,205
B,I have had this real problem with a a private individual,205
B,I mean I I kind of looked at it like if you take him to a home with a with private individual when the door shuts,205
A,<ds>yeah</ds>,205
B,that one person has total control,205
A,<ds>yeah</ds>,205
B,and I always figured at least in a day care center there are other people around,205
A,<ds>yeah</ds>,205
B,and if you get one bad apple there are at least other people that can see it,205
A,<ds>yeah</ds>,205
B,they can watch and,205
A,<ds>yeah</ds> <ds>yeah</ds>,205
B,I just kind of always felt that the chances of something happening were less,205
A,<ds>uh-huh</ds>,205
A,because there,205
B,you know how can you help depending on the day care center you know,205
A,<ds>yeah</ds>,205
B,you got to when you hear about all the horrible things that happen in day care centers have you ever noticed they always like a family owned center where the mother and the daughter and the son run it you know kind of thing,205
A,it like a family thing,205
B,<ds>yeah</ds> <ds>yeah</ds>,205
B,you never hear about it really in the big ones,205
A,<ds>yeah</ds>,205
B,so that what I did and I have had just excellent luck,205
A,<ds>oh</ds> good,205
B,I have been just so happy,205
B,he,205
A,<ds>oh</ds> good,205
A,I was just going to ask you how it you know if you liked the the but obviously you do or you would n't have him there I know but,205
B,<ds>right</ds>,205
B,<ds>right</ds>,205
B,<ds>well</ds> he was in he was in the same center for two years,205
A,<ds>uh-huh</ds>,205
B,for the first two years and <ds>uh</ds> it was wonderful and I loved it and I was so happy there and the woman who owned it sold it,205
A,<ds>oh</ds> gosh,205
B,but I thought okay I going to keep an open mind here,205
A,<ds>right</ds>,205
B,and the people who came in it just was n't it,205
A,was n't the same,205
B,just was n't the same and their,205
A,<ds>uh-huh</ds>,205
B,their attitude and philosophy was just completely,205
A,<ds>uh-huh</ds>,205
B,opposite from mine and I left him there for about a month and just decided I ca n't do this anymore and I,205
A,<ds>yeah</ds>,205
B,moved him which was an extremely traumatic experience but,205
A,was it,205
A,<ds>yeah</ds>,205
B,but he done well he been there,205
A,good,205
B,a couple of months now and I just feel so lucky,205
A,<ds>oh</ds> good,205
B,<ds>yeah</ds>,205
A,that great that good,205
B,how about you,205
B,do you work or do you get to stay home with them,205
A,<ds>well</ds> I got to stay home with my kids for the first ten years,205
A,my oldest one is ten and a half now,205
B,wonderful,205
A,or she I guess <ds>yeah</ds> it was about ten years,205
A,so I <ds>yeah</ds> I I was really happy that I was able to do that,205
A,but I that what I wanted to because I <ds>uh</ds> you know I just could n't wait to have kids and so if I was I was so anxious to have them and I could n't wait to have them it would be kind of silly you know to go back to work as soon as I had them so,205
B,<ds>right</ds>,205
B,<ds>right</ds>,205
A,so it it it it was really great,205
A,by the end of the ten years I was really ready,205
B,<ds>yeah</ds>,205
B,I bet,205
A,to go back to work and my youngest was only <ds>uh</ds> two and a half,205
B,<ds>uh-huh</ds>,205
A,I mean she was already two and a half,205
B,<ds>uh-huh</ds>,205
A,so it was n't you know she was n't an infant,205
B,a baby,205
A,<ds>yeah</ds>,205
B,<ds>yeah</ds>,205
A,<ds>yeah</ds>,205
A,<ds>yeah</ds> so I felt real good about that but <ds>uh</ds> boy I tell you with summer coming up I just pulling my hair out in terms of what I going to do I I guess I,205
A,went back to work about a year and a half ago and <ds>uh</ds> I worked full time all last year and now I going to school part time and <ds>uh</ds> graduate school and I working part time,205
A,and so I still,205
B,I know how that goes,205
A,<ds>yeah</ds>,205
A,I still going full time but I only have half time salary,205
B,<ds>yeah</ds>,205
A,and <ds>uh</ds> when school lets out I just do n't,205
A,I have n't I have no idea what I going to do,205
A,because I certainly ca n't afford what we did last year,205
B,<ds>right</ds> <ds>right</ds>,205
A,which was,205
B,did you have them in a center or something last summer,205
A,<ds>well</ds> we did we tried we had all different things we sent them to camp,205
A,one first month in June they went to summer school then the second month they <ds>uh</ds> one my daughter went home to visit my Mom for a while and my son <ds>uh</ds> went to camp and there we had <ds>uh</ds> I do n't know some forget what else we did but it was all <ds>uh</ds> really expensive,205
B,<ds>yeah</ds> that stuff is expensive,205
B,<ds>it really is</ds>,205
A,so now they a year older,205
A,and I my daughter eleven going to be eleven this summer and my son will be,205
A,nine and a half,205
A,and so,205
A,I not I think I can leave them home,205
A,for a if I can work part of the day you know I going to leave them home,205
B,<ds>yeah</ds> <ds>yeah</ds>,205
B,I was going to say they getting to the age where,205
A,<ds>right</ds>,205
B,you should be able to trust that a little bit <ds>yeah</ds>,205
A,<ds>yeah</ds>,205
A,<ds>yes</ds> in fact I doing that right now with their afternoons when they get home before I do,205
A,<ds>you know</ds>,205
A,that okay,205
A,but the four year old now I hav I have had her since I went back to work or before I went back to work really in a home day care situation,205
B,<ds>uh-huh</ds>,205
A,and <ds>uh</ds> we just been really thrilled,205
A,with it too,205
A,we were what actually we it took us two or three different people to find,205
B,to find the right one,205
A,<ds>yeah</ds>,205
B,that what we have to do though,205
A,<ds>right</ds>,205
A,but I was n't embarrassed to shop around you know,205
B,<ds>no</ds>,205
A,so the the person we found it through the there an association here in town of professional home,205
A,care providers or something like that,205
B,where do where do you live,205
A,in Plano,205
B,Plano,205
A,<ds>yeah</ds> and they have a number you can call and all these people are registered with their association and you know go like our our <ds>uh</ds> I do n't want to call her a baby-sitter she does n't like,205
A,to be called that care provider,205
B,care provider,205
A,<ds>right</ds>,205
A,she goes to seminars and <ds>uh</ds>,205
B,<ds>oh</ds> that wonderful,205
A,she gets home visitations by the s- MUMBLEx I do n't know the state boards I guess some of them and then some by the association and they have weekly meetings and everything and so it just really really well regulated,205
B,that great,205
A,and she just great,205
A,in fact <ds>uh</ds> she all upset because Galen is going to go to kindergarten next fall and she says this is it you know I not going to have her anymore and I said <ds>oh no</ds> do n't count on that,205
A,after noon classes she going to be here because she going to morning kindergarten,205
B,<ds>right</ds> <ds>right</ds>,205
A,so but we we tried we tried everything and one year I guess last year when I went back to work I had my son was eight at the time just barely eight and <ds>uh</ds> we put him in Amrein Day Care after,205
B,<ds>uh-huh</ds> I heard that,205
A,after,205
B,they were very good,205
A,<ds>well</ds> that why we picked it because they were were supposed to be real great and you know I think they were fine but the thing is he was in school all day,205
B,<ds>uh-huh</ds>,205
A,in second grade in in Plano it open classroom situation where they do n't have walls,205
B,<ds>uh-huh</ds>,205
A,so there is like a hundred and twenty second graders,205
B,<ds>oh</ds>,205
A,in the same area with no walls,205
A,and <ds>uh</ds> and then he get on the Amrein Bus to go to Amrein and then there would be a whole ton of other kids all in the same room you know,205
B,<ds>yeah</ds>,205
A,you know what fun they had with these computer games and then they go outside for awhile they had snacks and story time and everything,205
A,but it was just like going to school until five thirty at night instead of being able to get home at two thirty,205
B,poor kid was in school all day,205
B,<ds>yeah</ds>,205
A,<ds>yeah</ds>,205
B,<ds>yeah</ds>,205
A,because he was always around with a crowd of kids and he just really missed being able to be by himself,205
B,<ds>uh-huh</ds>,205
A,and having some peace and quiet or you know,205
B,<ds>uh-huh</ds>,205
B,even at that age they need that time,205
A,<ds>yes</ds>,205
B,we all need that time,205
A,<ds>yeah</ds>,205
B,just some quiet time to wind down from the day,205
A,<ds>right</ds>,205
A,that exactly it,205
A,so another thing that we tried to do I I know your son too young right now but we trying we tried to sign him up for after school scouts and,205
B,<ds>yeah</ds> <ds>yeah</ds>,205
A,stuff like that and,205
B,I think that really important,205
A,<ds>yeah</ds>,205
B,and we already started about you know I mean how young can they start T-Ball and soccer,205
A,<ds>right</ds>,205
B,you know I mean I just you know we both think of that that as just so important,205
A,<ds>it is</ds>,205
B,to get him involved in stuff like that and,205
A,<ds>it is</ds>,205
A,and,205
B,you could hardly wait I mean he he so much fun now,205
A,<ds>yeah</ds>,205
B,he really he really starting to get lots of fun and I ca n't wait until stuff like that starts happening,205
A,I bet <ds>yeah</ds>,205
B,you know and you know we did the Easter egg hunts,205
A,<ds>uh-huh</ds>,205
B,which was really the first year he was really able to,205
A,un understand,205
B,and to know what we wan know what he was doing,205
A,<ds>yeah</ds>,205
B,you know and enjoy it and it was so much fun and gosh he went a couple of weekends ago and rode an elephant and God,205
A,<ds>oh</ds> my gosh,205
A,you kidding,205
B,he got up on this elephant all by himself and Lord I could n't believe it,205
A,you kidding,205
B,they had so much fun,205
A,<ds>oh</ds> that great,205
B,I bought us tickets and stood there in line and I thought I going to end up on this elephant with him,205
B,<ds>you know</ds>,205
B,he did it by himself,205
A,<ds>well</ds> good for him,205
B,so stuff like that is starting to come along where it really,205
A,<ds>uh-huh</ds>,205
B,getting fun,205
A,<ds>uh-huh</ds>,205
B,<ds>you know</ds>,205
A,<ds>yeah</ds>,205
B,day care has just done just incredible stuff with him and he like comes home with something new everyday you know and so,205
A,<ds>well</ds> that great,205
A,that so good,205
B,I know I know they working with him and he excited to get there in the morning,205
A,<ds>uh-huh</ds>,205
B,and just does n't even want to kiss me good-bye,205
B,it just like bye and he goes running,205
A,he out of there,205
B,you know and he always having fun when I pick him up so you know,205
B,<ds>yeah</ds> this this day care is is,205
A,<ds>uh-huh</ds>,205
B,it Bright Steps in Lewisville,205
B,and,205
A,<ds>uh-huh</ds>,205
B,whenever you say Bright Steps everybody goes <ds>oh</ds> I heard that the best day care in town you know,205
A,<ds>yeah</ds>,205
A,good,205
B,and it it one of those that very hard to get into,205
A,<ds>uh-huh</ds>,205
B,and they have this this this woman owns three day cares two in Lewisville and one in Irving,205
A,<ds>uh-huh</ds>,205
B,and she had to open the second one up in Lewisville because,205
A,<ds>uh-huh</ds>,205
B,her waiting list was just like you know like a year old it was ridiculous,205
A,<ds>oh</ds> my gosh,205
B,and she got two day cares within like three blocks of each other,205
A,<ds>no</ds> kidding,205
B,<ds>yes</ds> so its,205
A,she knows something right that she MUMBLEx and,205
B,she knows what she doing all the teachers like about half the teachers are degreed teachers,205
A,<ds>yeah</ds> that makes such a difference,205
B,<ds>oh</ds> it makes a huge difference,205
A,that the way it is at my daughter nursery school too,205
B,<ds>uh-huh</ds>,205
A,and I think that really makes a difference,205
B,<ds>yeah</ds>,205
A,they in it because it a profession,205
B,that right,205
B,that right,205
A,not because it a job they could get because they did n't qualify for anything else you know,205
B,that right,205
B,and his old day care as much as I loved it you know,205
A,<ds>uh-huh</ds>,205
B,and the owner I really liked her and she worked really hard to get good people but the people that she got,205
A,<ds>uh-huh</ds>,205
B,were there because they were n't qualified to do anything else,205
A,<ds>uh-huh</ds>,205
B,<ds>you know</ds>,205
A,<ds>right</ds>,205
B,and and I got lucky and all of his teachers were,205
A,because because,205
B,very good,205
A,<ds>right</ds>,205
A,some sometimes that fine that great you know,205
B,<ds>yeah</ds> but then sometimes you know,205
A,sometimes it is n't,205
A,you just have to,205
B,<ds>yeah</ds>,205
A,<ds>well</ds> is it real expensive then,205
B,<ds>um</ds> it just went up the first of this month,205
B,I paying,205
A,<ds>uh-huh</ds>,205
B,<ds>uh</ds> seventy nine dollars a week for now,205
B,<ds>so</ds>,205
A,<ds>wow</ds>,205
B,it a little high,205
A,<ds>yeah</ds>,205
B,but but it you know it like where he was before I was only paying sixty three so there quite a little jump there,205
A,<ds>right</ds>,205
A,<ds>right</ds>,205
B,but I looked all over Lewisville I looked in every day care there was,205
A,<ds>uh-huh</ds>,205
B,in Lewisville and,205
A,<ds>uh-huh</ds>,205
B,you know and there were places that were cheaper but is it,205
A,<ds>no</ds>,205
B,you know your peace of mind is worth a little bit of money,205
A,<ds>yeah</ds>,205
B,you know and I have peace of mind,205
B,where he is,205
A,<ds>uh-huh</ds>,205
B,and some of those other places I would n't have,205
A,that exactly it,205
A,see we do the same thing since Galen goes to nursery school,205
A,we pay our our home care provider for our day care provider full time for a whole week but she she gone three mornings,205
A,Galen just does n't go there three mornings a week,205
B,<ds>yeah</ds> <ds>yeah</ds>,205
A,but I said to her I said you know it does n't matter if for whatever re- when school holidays come around I used to have such a problem with that,205
B,<ds>uh-huh</ds>,205
A,they would n't have anything to do,205
A,I either have to,205
A,<ds>uh</ds> so you have children I take it,206
B,<ds>no</ds> I do n't,206
A,you do n't,206
B,<ds>no</ds> <ds>huh-uh</ds>,206
A,so it not a very valid topic,206
B,<ds>no</ds> it not,206
B,do you have children,206
A,<ds>uh</ds> <ds>yes</ds>,206
B,<ds>uh-huh</ds>,206
A,one,206
B,one,206
A,Stepdaughter,206
B,<ds>uh-huh</ds>,206
A,ten,206
B,ten,206
A,and <ds>uh</ds> you know how they are at that age I guess,206
A,you having been ten once,206
A,yourself,206
B,<ds>yeah</ds>,206
B,once upon a time I was,206
B,<ds>well</ds> I have two dogs those are my kids,206
A,<ds>oh</ds> we have one,206
B,what kind is it,206
A,a Keeshonden,206
B,<ds>oh really</ds>,206
A,<ds>yeah</ds>,206
B,<ds>uh-huh</ds>,206
A,fuzzy little thing,206
B,a what,206
A,a fuzzy little dog,206
B,<ds>yeah</ds> <ds>yeah</ds> they cute,206
A,rather rather odd personality he he fun,206
B,<ds>uh-huh</ds>,206
A,anyway <ds>uh</ds> time we spend with our children,206
B,<ds>uh-huh</ds>,206
A,it seems almost as though children hate it,206
B,do they,206
A,<ds>yes</ds>,206
A,Time spent with Mom and Dad is <ds>uh</ds> next is probably one of the worst punishments spent on earth to them,206
B,<ds>yeah</ds> especially when they get like into the teenage stage,206
A,<ds>yeah</ds>,206
B,I guess,206
B,<ds>yeah</ds> I remember when I was that age,206
A,they you know parents are a curse that they just have to live with,206
B,<ds>uh-huh</ds>,206
A,so it it interesting,206
B,<ds>yeah</ds>,206
A,but we do spend time driving in the mountains and,206
B,<ds>uh-huh</ds>,206
B,<ds>oh</ds> how nice I would love to live up there,206
A,<ds>well</ds>,206
A,do you work for T I,206
B,<ds>uh-huh</ds> <ds>uh-huh</ds>,206
A,you working then,206
B,<ds>yeah</ds>,206
A,with every passing day we wonder if we will be,206
B,that what I heard,206
B,I always thought about maybe transferring up there and I thought if I do that I might not have a job so,206
A,it it better to be employed,206
B,<ds>uh-huh</ds>,206
B,<ds>uh-huh</ds>,206
A,especially these days where there is not a job right around the corner,206
B,<ds>uh-huh</ds>,206
B,<ds>i know it</ds>,206
A,and that creates family tensions,206
B,<ds>yeah</ds>,206
B,<ds>yeah</ds> I sure it does,206
B,so you only have the you only have the stepdaughter at home,206
A,<ds>yes</ds>,206
B,you all do n't have any other children around there,206
A,<ds>no</ds> <ds>no</ds>,206
A,I do n't have any an- children,206
B,<ds>uh-huh</ds>,206
B,so how does she feel about going out and doing stuff with you all,206
A,<ds>uh</ds> <ds>well</ds> it varies what it is <ds>of course</ds> but usually,206
A,mom and Dad are a curse,206
B,<ds>uh-huh</ds> <ds>uh-huh</ds>,206
A,you know they they much rather be with friends,206
B,<ds>oh yeah</ds>,206
A,friends are cool parents are n't,206
B,<ds>no</ds> <ds>huh-uh</ds>,206
A,<ds>well</ds> I remember well I sure part of it is a male female thing you know,206
B,<ds>uh-huh</ds>,206
A,I I remember whenever I was growing up often times spent with my Dad was <ds>oh</ds> just wonderful you know go,206
B,<ds>uh-huh</ds>,206
A,go hunting or go to the races,206
B,<ds>uh-huh</ds>,206
A,or or <ds>oh</ds> any number of things,206
B,<ds>uh-huh</ds>,206
A,and we have <ds>um</ds> great times,206
B,<ds>oh yeah</ds>,206
A,and it seems that well now the bank not available,206
B,<ds>yeah</ds>,206
B,<ds>um</ds>,206
A,and entirely too much time is spent my wife and I were wondering what if,206
B,<ds>uh-huh</ds>,206
A,and and what if always rough,206
B,<ds>oh yeah</ds>,206
B,<ds>yeah</ds>,206
A,but you know we do have our trips and we do have our fun and,206
B,<ds>uh-huh</ds>,206
A,I do n't know little girls are n't interested in lot of the same things little boys are or were,206
B,like fishing and,206
A,hunting and and,206
B,<ds>yeah</ds>,206
A,looking for arrowheads and,206
B,my husband will say that he like to have a little boy to take hunting and fishing and I said well you can take a little girl hunting and fishing just as easily,206
A,<ds>uh</ds> but they do n't like it,206
B,that probably right,206
A,there there there is a difference there,206
B,<ds>uh-huh</ds>,206
B,<ds>uh-huh</ds>,206
A,and and,206
B,<ds>no</ds> if my Dad had done that when I was a kid I probably would n't have liked it,206
B,I go now with my husband,206
B,and I enjoy it but,206
A,<ds>well</ds> girls at that age,206
B,<ds>uh-huh</ds>,206
A,video games boys and malls,206
B,<ds>yeah</ds> <ds>yeah</ds>,206
A,not necessarily in that order,206
A,and friends <ds>of course</ds>,206
B,<ds>uh-huh</ds>,206
A,and that a little tough for fathers,206
B,<ds>uh-huh</ds>,206
B,I imagine,206
A,fathers do n't even like malls they despise shopping,206
B,<ds>uh</ds>,206
A,so is that quality time,206
B,<ds>huh</ds> <ds>no</ds> I think not,206
A,<ds>yeah</ds> if but there is camping and we both enjoy that,206
B,<ds>uh-huh</ds> she likes to do that,206
A,somewhat <ds>yeah</ds> <ds>yeah</ds>,206
B,<ds>yeah</ds> <ds>yeah</ds>,206
B,<ds>well</ds> that good,206
A,getting up in the mountains and getting away from it all and,206
B,<ds>uh-huh</ds>,206
A,that somewhat fun,206
B,<ds>uh-huh</ds>,206
B,she,206
A,it,206
B,<ds>huh</ds>,206
A,so what do you think about child rearing,206
A,is how how would you spend time with kids,206
B,probably doing outdoorsie stuff and keeping trying to keep them away from the T V I guess,206
B,and McDonald,206
A,<ds>oh yeah</ds>,206
B,I I always said that if I had a kid they would n't know what McDonald is,206
A,<ds>yeah</ds> but,206
B,but they learn from their friends do n't they,206
A,<ds>well</ds> <ds>yeah</ds> and amazingly a lot of times it real easy,206
B,<ds>uh-huh</ds>,206
A,you know a lot of times whenever we head out of town on a trip or something,206
B,<ds>uh-huh</ds>,206
A,it real easy to swing in there for breakfast,206
B,<ds>yeah</ds>,206
A,breakfast and run,206
B,<ds>yeah</ds>,206
A,and breakfast is a kind of a funny meal anyway,206
B,<ds>yeah</ds>,206
B,<ds>it is</ds>,206
A,and <ds>uh</ds> kids eat funny,206
B,this lady in our bass club we had a tournament yesterday and she was talking about her daughter said one week her daughter will <ds>uh</ds> be on a no meat kick and one week she eat nothing but Twix candy bars you know she just eats weird,206
A,and little girls are worse about it than little boys,206
B,<ds>yeah</ds> <ds>yeah</ds>,206
A,they,206
B,they always wanting to go on a diet or something,206
A,or or something <ds>yeah</ds>,206
B,<ds>uh-huh</ds>,206
A,go on a diet or they they have a well to some extent the public schools or the schools in general,206
B,<ds>uh-huh</ds>,206
A,influence them,206
B,<ds>uh-huh</ds>,206
A,the eating meat kick,206
B,<ds>yeah</ds>,206
A,you know like it really morally wrong to eat meat or something,206
B,<ds>uh-huh</ds>,206
A,I I not sure,206
A,<ds>of course</ds> that not the way I was raised being raised in West Texas,206
B,<ds>yeah</ds>,206
B,<ds>oh</ds> is that where you from,206
A,<ds>oh yeah</ds>,206
B,<ds>uh-huh</ds>,206
A,born in Denton raised in Lubbock,206
B,<ds>oh</ds>,206
B,<ds>um</ds>,206
A,so I understand about bass,206
B,<ds>yeah</ds>,206
B,<ds>huh</ds>,206
A,but it but it is interesting,206
B,<ds>uh-huh</ds>,206
A,I I will tell you <ds>yeah</ds>,206
A,every person out there should have kids at least once or or have some they can borrow for a time,206
B,that the kind I like,206
A,because everyone needs some torture in their lives,206
B,my Mother used to put that curse on my sister,206
B,I hope you have kids just like yourself,206
B,and my Grandmother must have put that on my Dad because he got my sister she just like him,206
A,<ds>uh</ds>,206
A,but Jenny is a sweet kid,206
B,<ds>yeah</ds> I sure she is,206
A,and <ds>yeah</ds> we do do things,206
B,<ds>yeah</ds>,206
A,and it it funny it almost like a lot of things that were available to us as children,206
B,<ds>uh-huh</ds>,206
A,to go do,206
B,<ds>uh-huh</ds>,206
A,the money not available,206
B,<ds>uh-huh</ds> I know I do n't know how people can afford kids,206
B,I mean,206
A,you know we were talking about how much it cost to go to Disney Land,206
B,<ds>uh-huh</ds>,206
A,golly,206
A,a couple three hundred dollars,206
B,<ds>oh yeah</ds>,206
A,you know for just for just a day not in- you know a day or two not including lodging and food and all that,206
B,<ds>uh-huh</ds> <ds>uh-huh</ds>,206
A,it I do n't see how anyone can afford it,206
